"price_in_rp","address","district","city","lat","long","carports","electricity","floors","property_condition","building_orientation","garages","furnishing","total_size"
3.3e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,0,"3500 mah",2,"bagus sekali","utara",2,"unfurnished",354
4.5e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,2,"3500 mah",2,"bagus","utara",1,"unfurnished",524
2.7e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,2,"3500 mah",2,"bagus","selatan",1,"semi furnished",336
9.52e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"2200 mah",2,"baru","selatan",0,"unfurnished",105
2.35e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"2200 mah",2,"bagus","utara",1,"unfurnished",293
2.5e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"2200 mah",2,"sudah renovasi","selatan",1,"unfurnished",344
2.7e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"3500 mah",3,"bagus","utara",1,"unfurnished",329
5.36e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,2,"3500 mah",2,"baru","timur",0,"unfurnished",562
9.52e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"2200 mah",2,"baru","selatan",0,"unfurnished",105
2.25e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"2200 mah",1,"bagus","utara",1,"semi furnished",269
2.45e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"2200 mah",1,"bagus","selatan",0,"unfurnished",294
1.25e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,0,"1300 mah",2,"baru","barat",0,"unfurnished",220
1.98e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"3500 mah",2,"bagus","utara",1,"semi furnished",217
2.55e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"2200 mah",2,"sudah renovasi","selatan",1,"unfurnished",330
4.8e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,1,"1300 mah",1,"baru","selatan",0,"unfurnished",85
3e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,1,"1300 mah",1,"baru","timur",0,"semi furnished",96
5.27e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,2,"3500 mah",3,"baru","utara",0,"unfurnished",499
2.8e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,2,"5500 mah",2,"bagus","timur",2,"furnished",350
8.5e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,1,"2200 mah",1,"bagus","selatan",1,"unfurnished",325
7e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,1,"3500 mah",2,"bagus","selatan",1,"unfurnished",236
4.95e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,1,"5500 mah",2,"bagus","barat",1,"semi furnished",778
1.2e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,2,"2200 mah",2,"baru","barat",0,"semi furnished",210
2.8e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,1,"1300 mah",1,"baru","timur",1,"semi furnished",110
