"price_in_rp","address","district","city","lat","long","land_size_m2","building_size_m2","carports","electricity","floors","property_condition","building_orientation","garages","furnishing","Y"
3.3e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,180,174,0,"3500 mah",2,"bagus sekali","utara",2,"unfurnished",3.3e+09
4.5e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,328,196,2,"3500 mah",2,"bagus","utara",1,"unfurnished",4.5e+09
2.7e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,136,200,2,"3500 mah",2,"bagus","selatan",1,"semi furnished",2.7e+09
9.52e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,55,50,1,"2200 mah",2,"baru","selatan",0,"unfurnished",9.52e+08
2.35e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,144,149,1,"2200 mah",2,"bagus","utara",1,"unfurnished",2.35e+09
2.5e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,144,200,1,"2200 mah",2,"sudah renovasi","selatan",1,"unfurnished",2.5e+09
2.7e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,193,136,1,"3500 mah",3,"bagus","utara",1,"unfurnished",2.7e+09
5.36e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,192,370,2,"3500 mah",2,"baru","timur",0,"unfurnished",5.36e+09
9.52e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,55,50,1,"2200 mah",2,"baru","selatan",0,"unfurnished",9.52e+08
2.25e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,119,150,1,"2200 mah",1,"bagus","utara",1,"semi furnished",2.25e+09
2.45e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,144,150,1,"2200 mah",1,"bagus","selatan",0,"unfurnished",2.45e+09
1.25e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,110,110,0,"1300 mah",2,"baru","barat",0,"unfurnished",1.25e+08
1.98e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,119,98,1,"3500 mah",2,"bagus","utara",1,"semi furnished",1.98e+09
2.55e+09,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,144,186,1,"2200 mah",2,"sudah renovasi","selatan",1,"unfurnished",2.55e+09
4.8e+08,"Summarecon Bekasi, Bekasi","Summarecon Bekasi"," Bekasi",-6.223945,106.9862751,55,30,1,"1300 mah",1,"baru","selatan",0,"unfurnished",4.8e+08
3e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,60,36,1,"1300 mah",1,"baru","timur",0,"semi furnished",3e+08
5.27e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,192,307,2,"3500 mah",3,"baru","utara",0,"unfurnished",5.27e+09
2.8e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,150,200,2,"5500 mah",2,"bagus","timur",2,"furnished",2.8e+09
8.5e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,200,125,1,"2200 mah",1,"bagus","selatan",1,"unfurnished",8.5e+08
7e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,90,146,1,"3500 mah",2,"bagus","selatan",1,"unfurnished",7e+08
4.95e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,348,430,1,"5500 mah",2,"bagus","barat",1,"semi furnished",4.95e+09
1.2e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,120,90,2,"2200 mah",2,"baru","barat",0,"semi furnished",1.2e+09
2.8e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,70,40,1,"1300 mah",1,"baru","timur",1,"semi furnished",2.8e+08
9.99e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,127,190,1,"3500 mah",2,"bagus","selatan",1,"semi furnished",9.99e+08
1.5e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,100,136,1,"1300 mah",2,"bagus","timur",1,"semi furnished",1.5e+09
6.8e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,700,1400,2,"7700 mah",4,"bagus","selatan",2,"semi furnished",6.8e+09
8.7e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,90,80,1,"2200 mah",2,"baru","selatan",0,"unfurnished",8.7e+08
2.75e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,60,36,1,"lainnya mah",1,"baru","selatan",1,"semi furnished",2.75e+08
3e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,70,70,1,"1300 mah",1,"bagus","timur",1,"semi furnished",3e+08
1.2e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,120,90,2,"2200 mah",2,"baru","selatan",0,"furnished",1.2e+09
4.95e+08,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,86,45,1,"1300 mah",1,"baru","barat laut",1,"semi furnished",4.95e+08
1.5e+09,"Bekasi, Bekasi","Bekasi"," Bekasi",-6.2849775,106.970127,100,136,2,"2200 mah",2,"baru","selatan",2,"semi furnished",1.5e+09
3e+08,"Setu, Bekasi","Setu"," Bekasi",-6.358777,107.0348331,60,36,1,"1300 mah",1,"baru","selatan",1,"unfurnished",3e+08
3.5e+08,"Setu, Bekasi","Setu"," Bekasi",-6.358777,107.0348331,60,38,1,"1300 mah",1,"baru","selatan",0,"unfurnished",3.5e+08
3.51e+08,"Setu, Bekasi","Setu"," Bekasi",-6.358777,107.0348331,60,38,1,"1300 mah",1,"baru","utara",0,"unfurnished",3.51e+08
3.93e+08,"Setu, Bekasi","Setu"," Bekasi",-6.358777,107.0348331,60,36,1,"1300 mah",1,"bagus","selatan",0,"unfurnished",3.93e+08
3.92e+08,"Setu, Bekasi","Setu"," Bekasi",-6.358777,107.0348331,72,36,1,"1300 mah",1,"baru","utara",0,"unfurnished",3.92e+08
4.4e+08,"Setu, Bekasi","Setu"," Bekasi",-6.358777,107.0348331,66,36,1,"1300 mah",1,"baru","timur",1,"semi furnished",4.4e+08
